Date,Clicks,Impressions,CTR,Position
2026-02-06,0,5,0%,4.8
2026-02-07,0,3,0%,1.7
2026-02-08,0,3,0%,4.7
2026-02-09,0,6,0%,6.7
2026-02-10,0,3,0%,6.7
2026-02-11,0,7,0%,12.7
2026-02-12,0,2,0%,2
2026-02-13,0,2,0%,4
2026-02-14,0,3,0%,6
2026-02-15,0,5,0%,11
2026-02-16,0,1,0%,3
2026-02-17,0,1,0%,9
2026-02-18,0,1,0%,3
2026-02-19,0,1,0%,6
2026-02-20,0,1,0%,4
2026-02-21,0,10,0%,1
2026-02-22,0,2,0%,4.5
2026-02-23,0,6,0%,5.8
2026-02-24,0,8,0%,2.9
2026-02-25,1,2,50%,1
2026-02-26,1,12,8.33%,1.4
2026-02-27,0,4,0%,8.5
2026-02-28,0,2,0%,9
2026-03-01,0,1,0%,5
2026-03-02,0,0,,
2026-03-03,0,7,0%,1
2026-03-04,0,6,0%,1.3
2026-03-05,0,0,,
2026-03-06,0,5,0%,7
2026-03-07,0,4,0%,4.5
2026-03-08,0,3,0%,5
2026-03-09,0,3,0%,5.3
2026-03-10,0,4,0%,3.5
2026-03-11,0,3,0%,3
2026-03-12,1,4,25%,3.8
2026-03-13,1,5,20%,5.2
2026-03-14,1,5,20%,7.2
2026-03-15,0,4,0%,6
2026-03-16,0,2,0%,6
2026-03-17,0,1,0%,6
2026-03-18,1,6,16.67%,5.2
2026-03-19,0,0,,
2026-03-20,0,1,0%,4
2026-03-21,0,3,0%,7
2026-03-22,0,3,0%,4.7
2026-03-23,0,4,0%,4
2026-03-24,0,2,0%,5
2026-03-25,0,1,0%,4
2026-03-26,0,1,0%,6
2026-03-27,0,3,0%,4.3
2026-03-28,0,2,0%,3.5
2026-03-29,0,1,0%,5
2026-03-30,0,1,0%,5
2026-03-31,0,3,0%,5
2026-04-01,0,0,,
2026-04-02,0,4,0%,6.5
2026-04-03,0,1,0%,6
2026-04-04,0,2,0%,5.5
2026-04-05,0,0,,
2026-04-06,0,1,0%,3
2026-04-07,1,5,20%,5.6
2026-04-08,0,3,0%,4.7
2026-04-09,0,0,,
2026-04-10,0,0,,
2026-04-11,0,66,0%,2
2026-04-12,0,1,0%,10
2026-04-13,0,4,0%,9.5
2026-04-14,0,5,0%,5.2
2026-04-15,0,12,0%,2.3
2026-04-16,0,3,0%,4.3
2026-04-17,1,3,33.33%,5.7
2026-04-18,0,0,,
2026-04-19,0,2,0%,3.5
2026-04-20,0,5,0%,4.2
2026-04-21,0,3,0%,8
2026-04-22,0,6,0%,3.5
2026-04-23,0,0,,
2026-04-24,0,4,0%,3.5
2026-04-25,0,0,,
2026-04-26,0,3,0%,4
2026-04-27,0,0,,
2026-04-28,0,2,0%,4.5
2026-04-29,1,1,100%,5
2026-04-30,0,3,0%,5.3
2026-05-01,0,2,0%,3.5
2026-05-02,1,4,25%,10.5
2026-05-03,0,0,,
2026-05-04,0,5,0%,22.8
2026-05-05,0,4,0%,3.8
2026-05-06,0,2,0%,5
2026-05-07,0,0,,
2026-05-08,0,0,,
2026-05-09,0,5,0%,5.6
2026-05-10,0,1,0%,6
