Country,Clicks,Impressions,CTR,Position
United States,6,194,3.09%,4.24
India,4,65,6.15%,3.43
Canada,0,22,0%,5.09
United Kingdom,0,6,0%,2.67
Brazil,0,5,0%,1
Pakistan,0,5,0%,3.6
Australia,0,3,0%,5.67
Colombia,0,2,0%,1
Belgium,0,2,0%,3
Denmark,0,2,0%,3.5
Nepal,0,2,0%,3.5
Chile,0,2,0%,5.5
South Korea,0,2,0%,7
Germany,0,2,0%,7.5
France,0,2,0%,13.5
Iraq,0,2,0%,47
Argentina,0,1,0%,1
Switzerland,0,1,0%,1
Algeria,0,1,0%,1
Poland,0,1,0%,1
Romania,0,1,0%,1
Vietnam,0,1,0%,2
Philippines,0,1,0%,3
Italy,0,1,0%,4
Malaysia,0,1,0%,4
Saudi Arabia,0,1,0%,4
Kuwait,0,1,0%,5
Morocco,0,1,0%,5
Albania,0,1,0%,6
Egypt,0,1,0%,6
Indonesia,0,1,0%,6
Austria,0,1,0%,8
Isle of Man,0,1,0%,9
Greece,0,1,0%,10
Turkey,0,1,0%,10
Spain,0,1,0%,19
Ethiopia,0,1,0%,23
Bosnia & Herzegovina,0,1,0%,26
